route_id,direction_id,hour,trip_count,avg_headway_min,min_headway_min
FS,0,11,6,10.0,10.0
FS,0,12,6,10.0,10.0
FS,0,13,6,10.0,10.0
FS,0,14,6,10.0,10.0
FS,0,15,6,10.0,10.0
FS,0,16,6,10.0,10.0
FS,0,17,6,10.0,10.0
FS,0,18,6,10.0,10.0
FS,0,19,6,10.0,10.0
FS,0,20,6,10.0,10.0
FS,0,21,5,12.0,12.0
FS,0,22,4,15.0,15.0
FS,0,23,3,20.0,20.0
FS,1,0,3,20.0,20.0
FS,1,1,3,20.0,20.0
FS,1,2,3,20.0,20.0
FS,1,3,3,20.0,20.0
FS,1,4,3,20.0,20.0
FS,1,5,3,20.0,20.0
FS,1,6,5,12.0,10.0
FS,1,7,6,10.0,10.0
FS,1,8,6,10.0,10.0
FS,1,9,6,10.0,10.0
FS,1,10,6,10.0,10.0
FS,1,11,6,10.0,10.0
FS,1,12,6,10.0,10.0
FS,1,13,6,10.0,10.0
FS,1,14,6,10.0,10.0
FS,1,15,6,10.0,10.0
FS,1,16,6,10.0,10.0
FS,1,17,6,10.0,10.0
FS,1,18,6,10.0,10.0
FS,1,19,6,10.0,10.0
FS,1,20,6,10.0,10.0
FS,1,21,5,12.0,12.0
FS,1,22,4,15.0,13.5
FS,1,23,3,20.0,20.0
FX,0,7,2,30.0,21.5
FX,1,16,2,30.0,32.0
G,0,0,3,20.0,20.0
G,0,1,3,20.0,20.0
G,0,2,3,20.0,20.0
G,0,3,3,20.0,20.0
G,0,4,3,20.0,19.0
G,0,5,6,10.0,7.0
G,0,6,8,7.5,6.0
G,0,7,8,7.5,6.5
G,0,8,8,7.5,6.0
G,0,9,7,8.571428571428571,7.0
G,0,10,8,7.5,7.0
G,0,11,7,8.571428571428571,7.0
G,0,12,8,7.5,7.0
G,0,13,8,7.5,7.0
G,0,14,7,8.571428571428571,7.0
G,0,15,8,7.5,6.0
G,0,16,7,8.571428571428571,8.0
G,0,17,7,8.571428571428571,7.0
G,0,18,8,7.5,7.0
G,0,19,7,8.571428571428571,7.0
G,0,20,8,7.5,6.0
G,0,21,6,10.0,9.5
G,0,22,5,12.0,12.0
G,0,23,3,20.0,18.0
G,1,0,3,20.0,20.0
G,1,1,3,20.0,20.0
G,1,2,3,20.0,20.0
G,1,3,3,20.0,20.0
G,1,4,3,20.0,20.0
G,1,5,3,20.0,14.5
G,1,6,6,10.0,8.0
G,1,7,9,6.666666666666667,6.5
G,1,8,7,8.571428571428571,6.0
G,1,9,8,7.5,7.0
G,1,10,8,7.5,7.0
G,1,11,7,8.571428571428571,8.0
G,1,12,8,7.5,7.0
G,1,13,7,8.571428571428571,7.0
G,1,14,8,7.5,6.5
G,1,15,8,7.5,7.0
G,1,16,7,8.571428571428571,8.0
G,1,17,7,8.571428571428571,7.0
G,1,18,8,7.5,7.0
G,1,19,8,7.5,7.0
G,1,20,7,8.571428571428571,7.0
G,1,21,8,7.5,7.5
G,1,22,5,12.0,10.0
G,1,23,5,12.0,12.5
GS,0,5,2,30.0,5.0
GS,0,6,12,5.0,5.0
GS,0,7,15,4.0,3.5
GS,0,8,18,3.3333333333333335,3.0
GS,0,9,17,3.5294117647058822,3.0
GS,0,10,14,4.285714285714286,4.0
GS,0,11,12,5.0,5.0
